archive_candidate_id	archive_relative_path	member_name	member_type	uncompressed_bytes	compressed_bytes	crc32_hex	encrypted	safe_path	crc_verified	error_type	status
ba53d61fbd19cf55	soyod/Dong_Nong_50/gff/Dong_Nong_50.annotation.zip	Dong_Nong_50.annotation.gff	annotation	112177233	9818159	6f19df5a	false	true	true		PASS
3893cbc42953d50a	soyod/Dong_Nong_50/mrna/Dong_Nong_50.mRNA.zip	Dong_Nong_50.mRNA.fasta	fasta	136998058	27518533	5abcc0a7	false	true	true		PASS
d13434a73c7c419b	soyod/Dong_Nong_50/ncrna/Dong_Nong_50.ncRNA.gff3.zip	Dong_Nong_50.ncRNA.gff3	annotation	899933	87214	3bfeaf65	false	true	true		PASS
9f11383d01feff2d	soyod/Dong_Nong_50/protein/Dong_Nong_50.protein.zip	Dong_Nong_50.protein.fasta	fasta	32906043	11522647	a75c414f	false	true	true		PASS
3e68e675aee35ac6	soyod/Embrapa_BRS537/gff/Embrapa_BRS537.annotation.zip	Embrapa_BRS537.annotation.gff	annotation	375953449	14449447	c055ee35	false	true	true		PASS
845d8f94be0ffdc8	soyod/Feng_Di_Huang/cds/Feng_Di_Huang.CDS.zip	Feng_Di_Huang.CDS.fasta	fasta	105166063	19581603	7cb942f7	false	true	true		PASS
e06b6937fc97f408	soyod/Feng_Di_Huang/genome/Feng_Di_Huang.genome.zip	Feng_Di_Huang.genome.fasta	fasta	1004687082	242099409	d88b4388	false	true	true		PASS
eb1925d8df2d6936	soyod/Feng_Di_Huang/gff/Feng_Di_Huang.annotation.zip	Feng_Di_Huang.annotation.gff	annotation	119442647	10370787	9c290cf8	false	true	true		PASS
64e77a4e8ca0e383	soyod/Feng_Di_Huang/mrna/Feng_Di_Huang.mRNA.zip	Feng_Di_Huang.mRNA.fasta	fasta	152018760	29310545	ce0e1394	false	true	true		PASS
9e44f7f4b5308eab	soyod/Feng_Di_Huang/ncrna/Feng_Di_Huang.ncRNA.gff3.zip	Feng_Di_Huang.ncRNA.gff3	annotation	896334	86841	7d080016	false	true	true		PASS
b09de5339aba75d7	soyod/Feng_Di_Huang/protein/Feng_Di_Huang.protein.zip	Feng_Di_Huang.protein.fasta	fasta	36179111	11992537	dafa2750	false	true	true		PASS
3ec3e0c4e5042198	soyod/Han_Dou_5/cds/Han_Dou_5.CDS.zip	Han_Dou_5.CDS.fasta	fasta	111621045	20131200	7061a564	false	true	true		PASS
